Team,H2H_HW,H2H_AW,Drawn
"Arsenal,Crystal Palace",6,2,2
"Leicester,Everton",4,4,2
"Man United,Swansea",4,3,1
"QPR,Hull",0,2,0
"Stoke,Aston Villa",3,1,0
"West Brom,Sunderland",2,0,4
"West Ham,Tottenham",3,5,2
"Liverpool,Southampton",6,1,3
"Newcastle,Man City",1,6,1
"Burnley,Chelsea",1,4,3
"Aston Villa,Newcastle",0,1,3
"Chelsea,Leicester",5,2,3
"Crystal Palace,West Ham",1,5,4
"Everton,Arsenal",2,7,1
"Southampton,West Brom",4,2,2
"Swansea,Burnley",5,1,0
"Hull,Stoke",0,3,1
"Sunderland,Man United",1,4,1
"Tottenham,QPR",2,0,0
"Man City,Liverpool",3,5,2
"Burnley,Man United",0,4,4
"Everton,Chelsea",2,5,3
"Man City,Stoke",5,2,1
"Newcastle,Crystal Palace",2,2,4
"QPR,Sunderland",2,0,0
"Swansea,West Brom",4,2,2
"West Ham,Southampton",5,4,1
"Aston Villa,Hull",1,1,0
"Leicester,Arsenal",2,6,2
"Tottenham,Liverpool",1,5,4
"Arsenal,Man City",2,5,3
"Chelsea,Swansea",5,1,2
"Crystal Palace,Burnley",4,3,1
"Liverpool,Aston Villa",3,1,0
"Southampton,Newcastle",3,2,3
"Stoke,Leicester",1,3,4
"Sunderland,Tottenham",0,4,2
"West Brom,Everton",1,4,3
"Man United,QPR",2,0,0
"Hull,West Ham",1,2,1
"Aston Villa,Arsenal",0,4,0
"Burnley,Sunderland",1,1,2
"Newcastle,Hull",1,0,1
"QPR,Stoke",0,1,1
"Swansea,Southampton",2,5,1
"West Ham,Liverpool",3,5,2
"Everton,Crystal Palace",4,1,5
"Leicester,Man United",1,6,3
"Man City,Chelsea",5,3,2
"Tottenham,West Brom",2,2,4
"Arsenal,Tottenham",2,3,5
"Chelsea,Aston Villa",4,0,0
"Crystal Palace,Leicester",6,3,1
"Hull,Man City",0,3,1
"Liverpool,Everton",4,0,6
"Man United,West Ham",4,2,4
"Southampton,QPR",2,0,0
"Sunderland,Swansea",1,2,3
"West Brom,Burnley",3,1,2
"Stoke,Newcastle",2,2,2
"Aston Villa,Man City",0,3,1
"Hull,Crystal Palace",2,1,1
"Leicester,Burnley",4,2,2
"Liverpool,West Brom",3,0,5
"Sunderland,Stoke",2,2,2
"Swansea,Newcastle",2,2,2
"Chelsea,Arsenal",5,2,3
"Man United,Everton",6,2,2
"Tottenham,Southampton",6,2,2
"West Ham,QPR",1,0,1
"Arsenal,Hull",3,0,1
"Burnley,West Ham",2,5,1
"Crystal Palace,Chelsea",3,7,0
"Everton,Aston Villa",3,1,0
"Man City,Tottenham",6,3,1
"Newcastle,Leicester",3,5,0
"Southampton,Sunderland",3,1,2
"QPR,Liverpool",0,2,0
"Stoke,Swansea",5,2,1
"West Brom,Man United",3,3,2
"Liverpool,Hull",1,2,1
"Southampton,Stoke",2,4,2
"Sunderland,Arsenal",0,4,2
"Swansea,Leicester",2,5,1
"West Brom,Crystal Palace",3,3,2
"West Ham,Man City",2,7,1
"Burnley,Everton",3,5,0
"Man United,Chelsea",2,3,5
"Tottenham,Newcastle",5,3,0
"QPR,Aston Villa",1,0,1
"Arsenal,Burnley",8,0,0
"Chelsea,QPR",2,0,0
"Everton,Swansea",1,2,5
"Hull,Southampton",1,2,1
"Leicester,West Brom",4,2,2
"Newcastle,Liverpool",2,4,2
"Stoke,West Ham",1,1,6
"Aston Villa,Tottenham",1,3,0
"Man City,Man United",5,3,2
"Crystal Palace,Sunderland",2,3,1
"Burnley,Hull",2,0,2
"Liverpool,Chelsea",3,2,5
"Man United,Crystal Palace",8,0,2
"QPR,Man City",0,1,1
"Southampton,Leicester",3,4,3
"West Ham,Aston Villa",1,1,2
"Sunderland,Everton",2,3,1
"Swansea,Arsenal",4,4,0
"Tottenham,Stoke",5,2,1
"West Brom,Newcastle",2,2,2
"Arsenal,Man United",3,4,3
"Chelsea,West Brom",6,1,1
"Everton,West Ham",5,3,2
"Leicester,Sunderland",3,1,2
"Man City,Swansea",7,0,1
"Newcastle,QPR",1,1,0
"Stoke,Burnley",1,3,2
"Crystal Palace,Liverpool",4,6,0
"Hull,Tottenham",0,4,0
"Aston Villa,Southampton",0,2,2
"Burnley,Aston Villa",1,0,1
"Liverpool,Stoke",6,1,1
"Man United,Hull",2,0,2
"QPR,Leicester",1,1,0
"Sunderland,Chelsea",1,4,1
"Swansea,Crystal Palace",3,1,4
"West Brom,Arsenal",2,5,1
"West Ham,Newcastle",4,4,0
"Southampton,Man City",1,8,1
"Tottenham,Everton",6,0,4
"Burnley,Newcastle",1,2,3
"Crystal Palace,Aston Villa",1,2,1
"Leicester,Liverpool",2,6,2
"Man United,Stoke",3,1,4
"Swansea,QPR",1,0,1
"West Brom,West Ham",1,3,4
"Arsenal,Southampton",5,3,2
"Chelsea,Tottenham",4,4,2
"Everton,Hull",1,1,2
"Sunderland,Man City",0,6,0
"Hull,West Brom",0,2,2
"Liverpool,Sunderland",3,0,3
"Man City,Everton",5,1,4
"Newcastle,Chelsea",2,5,1
"QPR,Burnley",1,1,0
"Stoke,Arsenal",2,5,1
"Tottenham,Crystal Palace",8,1,1
"Aston Villa,Leicester",1,2,1
"West Ham,Swansea",4,2,2
"Southampton,Man United",2,5,3
"Arsenal,Newcastle",7,1,0
"Burnley,Southampton",3,2,3
"Chelsea,Hull",4,0,0
"Crystal Palace,Stoke",6,1,1
"Leicester,Man City",3,6,1
"Sunderland,West Ham",0,3,3
"West Brom,Aston Villa",2,1,1
"Man United,Liverpool",5,1,4
"Swansea,Tottenham",0,6,2
"Everton,QPR",2,0,0
"Aston Villa,Man United",0,3,1
"Hull,Swansea",2,2,0
"Man City,Crystal Palace",7,2,1
"QPR,West Brom",2,0,0
"Southampton,Everton",4,4,2
"Tottenham,Burnley",5,1,2
"West Ham,Leicester",2,4,4
"Liverpool,Arsenal",4,1,5
"Newcastle,Sunderland",0,3,1
"Stoke,Chelsea",1,6,1
"Arsenal,QPR",2,0,0
"Burnley,Liverpool",1,6,1
"Chelsea,West Ham",5,2,3
"Crystal Palace,Southampton",3,6,1
"Everton,Stoke",4,3,1
"Leicester,Tottenham",2,6,2
"Man United,Newcastle",5,1,2
"Sunderland,Hull",2,1,1
"Swansea,Aston Villa",4,0,0
"West Brom,Man City",0,8,0
"Aston Villa,Sunderland",1,1,2
"Hull,Leicester",1,2,1
"Man City,Burnley",5,1,2
"Newcastle,Everton",2,5,1
"QPR,Crystal Palace",0,1,1
"Southampton,Chelsea",1,6,3
"Stoke,West Brom",2,4,2
"Tottenham,Man United",4,5,1
"West Ham,Arsenal",2,6,2
"Liverpool,Swansea",5,3,0
"Bournemouth,Aston Villa",1,1,0
"Everton,Watford",2,3,3
"Norwich,Crystal Palace",0,2,0
"Sunderland,Norwich",1,1,0
"Watford,West Brom",3,1,2
"Liverpool,Bournemouth",6,1,1
"Norwich,Stoke",0,1,1
"West Ham,Bournemouth",2,4,2
